GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fxui,bookingsystem.ui,App,29,0,0,0,9,0,3,0,3,0
fxui,bookingsystem.ui,BookingController,106,273,8,10,28,65,12,19,5,17
fxui,bookingsystem.ui,UserProfileController,89,39,0,0,24,10,5,3,5,3
fxui,bookingsystem.ui,LogInController,35,89,1,1,9,20,3,6,2,6
fxui,bookingsystem.ui,RegisterUserController,32,128,0,2,8,33,1,8,1,7
fxui,bookingsystem.ui,AppController,111,0,0,0,29,0,6,0,6,0
fxui,bookingsystem.ui,BookingController.new StringConverter() {...},20,11,1,1,2,3,3,2,2,2
fxui,bookingsystem.ui,BookingController.new StringConverter() {...},20,11,1,1,2,3,3,2,2,2
